,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
6897,6897,Pouilly-Fum\xe9 2014,Pascal Jolivet,Sancerre,France,3.8,22.48,2014.0
6898,6898,Puligny-Montrachet 1er Cru Les Folatieres 2011,Louis Chavy,Bourgogne,France,4.4,80.98,2011.0
6899,6899,Ethos Reserve Chardonnay,Ch\xe2teau Ste. Michelle,Columbia Valley,United States,3.9,33.88,
6900,6900,Arbois Chardonnay,Rolet,Jura,France,3.6,19.99,
6901,6901,Viognier Vin de Pays 2013,Domaine de la Janasse,C\xf4tes du Rh\xf4ne,France,3.4,19.99,2013.0
6902,6902,Pinot Grigio,Corbett Canyon,California,United States,3.0,8.48,
6903,6903,Russian River Valley Chardonnay 2012,De Loach,California,United States,3.6,18.48,2012.0
6904,6904,Muscat Tradition Alsace 2010,Hugel,Alsace,France,3.6,21.88,2010.0
6905,6905,Riesling Traditions 2013,Milbrandt Vineyards,Washington,United States,3.5,12.98,2013.0
6906,6906,Pouilly-Fum\xe9,Chantalouettes,Upper Loire,France,3.4,22.49,
6907,6907,Oxford 1.970 Pedro Ximenez,Dios Baco,Andaluc\xeda,Spain,4.1,17.98,1970.0
6908,6908,Le Versant Viognier,Foncalieu,Languedoc,France,3.8,13.98,
6909,6909,Chardonnay 2010,Arrowood,California,United States,3.9,19.98,2010.0
6910,6910,Ambassadeur Fum\xe9 Gros Rhin de Chamoson,Adrien Mathier,Valais,Switzerland,4.4,,
6911,6911,California Chardonnay 2013,Creme de Lys,Sonoma County,United States,3.7,9.98,2013.0
6912,6912,Chardonnay Eastside,Aubert,Calistoga,United States,4.5,208.99,
6913,6913,"[u""Director's Cut Chardonnay""]",Francis Ford Coppola,California,United States,4.0,14.48,
6914,6914,Rias Baixas Deusa Nai Albari\xf1o,Marqu\xe9s de C\xe1ceres,Rioja Alta,Spain,3.5,14.98,
6915,6915,de La Garenne M\xe2con-Az\xe9 2014,Domaine de la Garenne,Provence,France,3.4,21.98,2014.0
6916,6916,Chassagne-Montrachet 1er Cru Grandes Ruchottes 2009,Lucien le Moine,Beaune,France,4.6,121.49,2009.0
6917,6917,Les Criots Meursault 2013,Ballot-Millot & Fils,Bourgogne,France,3.7,49.97,2013.0
6918,6918,Chardonnay Lot 5 2012,Leyda,Valle de Leyda,Chile,4.1,33.38,2012.0
6919,6919,Single Vineyard Wild Fermented Sauvignon Blanc,Valdivieso,Valle de Colchagua,Chile,3.6,8.57,
6920,6920,Don David Reserve Torrontes 2015,Bodega El Esteco,Salta,Argentina,3.5,14.96,2015.0
6921,6921,Friulano 2014,Livio Felluga,Colli Orientali del Friuli,Italy,3.7,27.25,2014.0
6922,6922,Vougeot 1er Cru Le Clos Blanc de Vougeot Monopole 2007,Domaine de la Vougeraie,Bourgogne,France,4.3,77.49,2007.0
6923,6923,Arona Sauvignon Blanc 2015,"[u""Barker's Marque""]",Marlborough,New Zealand,3.7,11.98,2015.0
6924,6924,"[u""Vin D'Alsace Zotzenberg Grand Cru Riesling""]",Albert Seltz,Alsace,France,4.0,26.47,
6925,6925,Chardonnay Langhe Bastia,Conterno Fantino,Piemonte,Italy,4.0,36.96,
6926,6926,Alvarinho Vinho Verde,Palacio da Brejoeira,Minho,Portugal,4.2,25.28,
6927,6927,Capitel Croce 2013,Roberto Anselmi,Verona,Italy,3.8,27.13,2013.0
6928,6928,Sonoma Coast Chardonnay 2013,Flowers  ,North Coast,United States,4.2,45.43,2013.0
6929,6929,Signature Limited Release Chardonnay 2014,Matthew Van Heerden,,,4.6,14.46,2014.0
6930,6930,Greco Campania Mastro,Mastroberardino,Campania,Italy,3.3,14.83,
6931,6931,Les Vaillons Chablis Premier Cru,Domaine Long Depaquit,Chablis,France,3.9,38.98,
6932,6932,Moscato Dolomiti 2012,Mezzacorona,Trentino,Italy,3.3,16.83,2012.0
6933,6933,Faustine Vieilles Vignes 2011,Abbatucci,Corsica,France,3.9,25.99,2011.0
6934,6934,Lune Blanche 2013,Clos des Lunes,Sauternes,France,3.8,20.96,2013.0
6935,6935,Meursault-Charmes Premier Cru 2010,Domaine des Comtes Lafon,Meursault,France,4.7,229.93,2010.0
6936,6936,Pinot Blanc,P.J. Valckenberg,Rheinhessen,Germany,3.8,12.73,
6937,6937,Bourgogne Blanc 2013,Lucien le Moine,Beaune,France,4.1,48.96,2013.0
6938,6938,Riesling Alsace R\xe9serve 2013,Trimbach,Alsace,France,3.6,23.99,2013.0
6939,6939,Sauvignon Blanc 2013,Mulderbosch,Stellenbosch,South Africa,3.4,16.98,2013.0
6940,6940,Riesling Wehlener Sonnenuhr Sp\xe4tlese 2008,Joh. Jos. Pr\xfcm,Mosel,Germany,4.3,240.0,2008.0
6941,6941,Sixto Roza Hills Chardonnay 2013,Charles Smith,Walla Walla Valley,United States,4.1,55.98,2013.0
6942,6942,Pinot Blanc 2014,Paul Zinck,Alsace,France,3.5,14.98,2014.0
6943,6943,Chablis Premier Cru C\xf4te de Lechet 2002,Daniel-Etienne Defaix,Chablis,France,4.2,57.41,2002.0
6944,6944,Les Enseign\xe8res Puligny-Montrachet 2014,Chavy-Chouet,C\xf4te de Beaune,France,4.0,64.98,2014.0
6945,6945,California Riesling,Snap Dragon,California,United States,3.6,9.33,
6946,6946,Venezia Giulia Were Dreams Bianco (Where the Dreams Have No End) 2012,Jermann,Friuli-Venezia Giulia,Italy,4.1,63.99,2012.0
6947,6947,Saumur Blanc 2014,Guiberteau,Saumur,France,3.8,25.98,2014.0
6948,6948,Private Bin Sauvignon Blanc 2014,Villa Maria,Auckland,New Zealand,3.9,12.6,2014.0
6949,6949,Roero Arneis Bricco Delle Ciliegie 2012,Giovanni Almondo,Piemonte,Italy,4.2,21.98,2012.0
6950,6950,"[u""Vintner's Reserve Chardonnay 2015""]",Kendall-Jackson,California,United States,4.3,12.99,2015.0
6951,6951,Pinot Grigio 2013,Villa Pozzi,Terre Siciliane,Italy,3.6,11.98,2013.0
6952,6952,Chardonnay Upper Barn 2012,Stonestreet,California,United States,4.4,65.99,2012.0
6953,6953,Riesling Wehlener Sonnenuhr Auslese 1999,Joh. Jos. Pr\xfcm,Mosel,Germany,4.5,101.99,1999.0
6954,6954,Riesling Kabinett \xdcrziger W\xfcrzgarten 2012,Dr. Loosen,Mosel,Germany,4.1,25.99,2012.0
6955,6955,Bin 311 Chardonnay 2014,Penfolds,South Australia,Australia,3.8,32.58,2014.0
6956,6956,"[u""Lume D'Abruzzo Trebbiano 2014""]",Ilauri,Abruzzo,Italy,3.7,143.88,2014.0
6957,6957,Finger Lakes RTR Barrel Fermented Chardonnay,Red Tail Ridge,Finger Lakes,United States,3.4,18.79,
6958,6958,"[u""Vintner's Collection Pinot Grigio""]",Sterling,Calistoga,United States,3.5,9.98,
6959,6959,Lancers Branco,Jos\xe9 Maria da Fonseca,Pen\xednsula de Set\xfabal,Portugal,2.9,7.48,
6960,6960,C\xf4tes De Gascogne 2013,Chevanceau,South West France,France,4.5,7.65,2013.0
6961,6961,Bon Marche,,,,3.3,12.61,
6962,6962,Vire-Cless\xe9 2012,Les Heritiers Du Comte Lafon,C\xf4te Chalonnaise,France,3.7,39.98,2012.0
6963,6963,Gew\xfcrztraminer R\xe9serve 2014,Willm,Alsace,France,3.6,14.98,2014.0
6964,6964,Alsace Grand Cru Clos St. Landelin Vendanges Tardives Vorbourg Gew\xfcrztraminer,Ren\xe9 Mur\xe9,Alsace,France,4.4,31.54,
6965,6965,Nine Yards,Jordan Stellenbosch,Stellenbosch,South Africa,4.4,47.0,
6966,6966,Nosiola Dolomiti,Pojer e Sandri,Trentino,Italy,3.4,18.69,
6967,6967,Chardonnay Kidnappers Vineyard 2012,Craggy Range,"[u""Hawke's Bay""]",New Zealand,3.4,23.78,2012.0
6968,6968,Comte De La Perriere Silex Sancerre 2013,La Perriere,Loire Valley,France,3.9,26.97,2013.0
6969,6969,Chardonnay Vine Hill Vineyard 2009,Kistler Vineyards,Sonoma County,United States,4.5,94.99,2009.0
6970,6970,Sauvignon Blanc 2014,de Gras,Valle Central,Chile,3.0,14.29,2014.0
6971,6971,Zestos Malvar Old Vines 2013,Jeromin,Madrid,Spain,3.7,9.98,2013.0
6972,6972,"[u""Moscato d'Oro 2014""]",Robert Mondavi,Oakville,United States,4.4,16.13,2014.0
6973,6973,Planalto Reserva Douro Branco Seco,Casa Ferreirinha,Douro,Portugal,3.6,11.48,
6974,6974,La Manina 2013,Manincor,Trentino-Alto Adige,Italy,3.7,16.98,2013.0
6975,6975,Salina Bianco,Carlo Hauner,Terre Siciliane,Italy,3.5,18.78,
6976,6976,Venezia Giulia Vintage Tunina 2012,Jermann,Friuli-Venezia Giulia,Italy,4.3,62.08,2012.0
6977,6977,Terre Sicilia\u200b Bianco,Tavernello,Emilia-Romagna,Italy,2.9,4.98,
6978,6978,Cuv\xe9e 113 2011,Sauska,Hungary,Hungary,3.5,17.49,2011.0
6979,6979,Jerez Don Gonzalo Oloroso VOS,Valdespino,Jerez-X\xe9r\xe8s-Sherry,Spain,4.0,38.98,
6980,6980,Sauvignon Blanc,The Dreaming Tree,California,United States,3.6,14.98,
6981,6981,Granger Bay Sauvignon Blanc 2015,Diemersdal,Durbanville,South Africa,3.6,14.98,2015.0
6982,6982,Ch\xe2teauneuf-du-Pape Vieilles Vigne Blanc 2007,Ch\xe2teau de Beaucastel,Ch\xe2teauneuf-du-Pape,France,4.4,125.0,2007.0
6983,6983,Surya Bianco 2013,Principi di Butera,Terre Siciliane,Italy,3.5,112.68,2013.0
6984,6984,Organic Chardonnay,Frey,North Coast,United States,3.0,12.98,
6985,6985,"[u""Crocodile's Lair Kaaimansgat Chardonnay""]",Bouchard Finlayson,Walker Bay,South Africa,3.8,22.63,
6986,6986,Scheiben Roter Veltliner,Franz Leth,Nieder\xf6sterreich,Austria,3.9,32.29,
6987,6987,Pratolungo Umbria Bianco,Morami,Umbria,Italy,4.6,17.85,
6988,6988,Soave Classico Vin Soave 2015,Inama,Soave Classico,Italy,3.7,14.98,2015.0
6989,6989,Costers Del Segre White 2014,Anima de Raimat,Costers del Segre,Spain,3.8,15.72,2014.0
6990,6990,Sauvignon Blanc 2014,Mud House,Marlborough,New Zealand,3.9,12.98,2014.0
6991,6991,"[u""Les Chaill\xe9es de L'Enfer Condrieu 2011""]",Domaine Georges Vernay,C\xf4te-R\xf4tie,France,4.3,124.99,2011.0
6992,6992,Bordeaux Blanc,Ch\xe2teau Monbousquet,Saint-\xc9milion,France,3.9,72.39,
6993,6993,Monte Mayor Branco,Adega Mayor,Alentejo,Portugal,3.4,7.78,
6994,6994,Chardonnay 2013,Adaptation,Napa Valley,United States,3.8,31.61,2013.0
6995,6995,Pinot Blanc Alsace R\xe9serve 2013,Domaine Weinbach,Alsace,France,4.0,22.8,2013.0
6996,6996,Sauvignon Blanc Marlborough 2015,Chasing Venus,Marlborough,New Zealand,4.2,15.78,2015.0
6997,6997,Chardonnay,Handcraft,California,United States,3.6,9.98,
6998,6998,Meursault 2007,Arnaud Ente,Bourgogne,France,4.5,189.0,2007.0
6999,6999,Chardonnay 2013,Montes Alpha,Valle de Aconcagua,Chile,3.8,19.98,2013.0
7000,7000,Bourgogne Chardonnay 2014,Louis Jadot,Bourgogne,France,3.6,16.93,2014.0
7001,7001,Quinta do Alqueve Fern\xe3o Pires,Pinhal Da Torre,Ribatejo,Portugal,3.3,12.33,
7002,7002,Rosso & Bianco Pinot Grigio 2015,Francis Ford Coppola,California,United States,3.6,11.44,2015.0
7003,7003,Blue Fish Sweet Riesling,Die Weinmacher,Pfalz,Germany,3.3,10.18,
7004,7004,Pinot Grigio Promessa,Castello di Gabbiano,Chianti Classico,Italy,3.2,7.98,
7005,7005,Is Argiolas Vermentino di Sardegna,Argiolas,Sardegna,Italy,3.9,20.17,
7006,7006,Riesling Trocken 2014,Weingut Robert Weil,Rheingau,Germany,3.8,18.98,2014.0
7007,7007,Sauvignon Blanc 2014,Iona,Overberg,South Africa,3.8,15.23,2014.0
7008,7008,"[u""Ch\xe2tenoy Menetou-Salon 'Pierre-Alexandre' 2014""]",Isabelle et Pierre Clement,Upper Loire,France,3.8,21.99,2014.0
7009,7009,Il Lugana 2014,San Giovanni,Langhe,Italy,3.5,18.98,2014.0
7010,7010,Benufet 2012,Herencia Alt\xe9s,Tarragona,Spain,3.7,10.99,2012.0
7011,7011,Chardonnay Bourgogne 2013,Faiveley,Bourgogne,France,3.6,24.48,2013.0
7012,7012,Riesling Alsace 2015,Wolfberger,Alsace,France,3.5,19.0,2015.0
7013,7013,Baroness Nadine 2008,Rupert & Rothschild,Paarl,South Africa,4.5,63.76,2008.0
7014,7014,Les Perri\xe8res Puligny-Montrachet 1er Cru 2011,Louis Chavy,Bourgogne,France,4.6,85.96,2011.0
7015,7015,Gr\xfcner Veltliner,Fred Loimer,Nieder\xf6sterreich,Austria,3.7,20.98,
7016,7016,Riesling Wehlener Sonnenuhr Sp\xe4tlese 2012,Joh. Jos. Pr\xfcm,Mosel,Germany,4.2,39.28,2012.0
7017,7017,Alvarinho Vinho Verde 2015,Soalheiro,Mon\xe7\xe3o e Melga\xe7o,Portugal,4.0,15.99,2015.0
7018,7018,Pinot Gris 2012,Greywacke,Marlborough,New Zealand,3.9,22.42,2012.0
7019,7019,Classic Pinot Grigio,Beringer Vineyards,St. Helena,United States,3.3,6.98,
7020,7020,Domaine Fourchaume Chablis Premier Cru,De Chantemerle,Chablis,France,3.8,29.27,
7021,7021,Elevado Sauvignon Blanc - Chardonnay 2015,Bodegas Salentein,Mendoza,Argentina,3.5,7.74,2015.0
7022,7022,Sauvignon Blanc,di Lenardo,Friuli-Venezia Giulia,Italy,3.7,11.98,
7023,7023,Vitral Reserva Sauvignon Blanc 2015,Vi\xf1a Maipo,Valle del Maipo,Chile,3.4,12.98,2015.0
7024,7024,Chablis Premier Cru Butteaux,Domaine Jean-Marc Brocard,Chablis,France,4.0,35.59,
7025,7025,Chardonnay 2013,Entwine,California,United States,3.4,10.98,2013.0
7026,7026,Pessac-L\xe9ognan Blanc,Ch\xe2teau Smith Haut-Lafitte,Pessac-Leognan,France,4.2,156.88,
7027,7027,M\xe2con-Uchizy 2014,Talmard,M\xe2con-Uchizy,France,3.8,16.98,2014.0
7028,7028,Soave Classico,Suavia,Veneto,Italy,3.7,15.43,
7029,7029,Santenay Clos de Malte Blanc 2012,Louis Jadot,Bourgogne,France,3.7,35.38,2012.0
7030,7030,C\xf4tes de Gascogne Blanc,Domaine Saint-Lannes,C\xf4tes de Gascogne,France,3.7,9.98,
7031,7031,"[u""Ian's Reserve Chardonnay""]",Chehalem,Willamette Valley,United States,4.1,33.43,
7032,7032,Chloe Chardonnay,DuMOL,Russian River Valley,United States,4.5,67.68,
7033,7033,Marlborough Sauvignon Blanc 2015,Nautilus,Marlborough,New Zealand,3.9,15.27,2015.0
7034,7034,"[u""Director's Cut Chardonnay 2014""]",Francis Ford Coppola,California,United States,3.9,18.07,2014.0
7035,7035,Meursault Blanc 2002,Domaine Coche-Dury,C\xf4te de Beaune,France,4.5,419.0,2002.0
7036,7036,Chardonnay,The Oak,Russian River Valley,United States,3.7,11.9,
7037,7037,The Dry Dam Riesling 2015,"[u""d'Arenberg""]",McLaren Vale,Australia,3.9,15.85,2015.0
7038,7038,Ferentano Lazio,Falesco,Umbria,Italy,3.7,23.38,
7039,7039,Coteaux Varois en Provence Blanc 2015,Miraval,C\xf4tes de Provence,France,4.0,37.99,2015.0
7040,7040,Chardonnay S\xfcdtirol - Alto Adige 2013,St. Michael-Eppan,Trentino-Alto Adige,Italy,3.5,14.88,2013.0
7041,7041,Meursault du Ch\xe2teau 2005,Ch\xe2teau de Meursault,Meursault,France,3.7,21.44,2005.0
7042,7042,La Capra Chenin Blanc,Fairview,Coastal Region,South Africa,3.4,6.48,
7043,7043,Peter Yealands Sauvignon Blanc 2015,Yealands,South Island,New Zealand,3.9,14.26,2015.0
7044,7044,Monterey Chardonnay,Mandolin,Central Coast,United States,3.5,11.98,
7045,7045,Sonoma Coast Chardonnay,Sonoma-Cutrer,Russian River Valley,United States,3.8,23.97,
7046,7046,Levarie Soave Classico,Masi,Veneto,Italy,3.2,15.6,
7047,7047,Riesling,Crane Lake,Napa Valley,United States,3.5,4.98,
7048,7048,Chablis 2013,Domaine Long Depaquit,Chablis,France,3.8,24.98,2013.0
7049,7049,Tralivio 2013,Sartarelli,Marche,Italy,3.7,15.98,2013.0
7050,7050,Sancerre Blanc 2014,Franck Millet,Sancerre,France,3.9,21.98,2014.0
7051,7051,Russian River Selection Chardonnay,Gary Farrell,Russian River Valley,United States,4.0,30.98,
7052,7052,Sauvignon Blanc,Wairau River,Marlborough,New Zealand,4.0,15.48,
7053,7053,Pinot Grigio Terre Siciliane,Walnut Crest,Valle de Rapel,Chile,2.9,7.98,
7054,7054,Sauvignon Blanc 2013,Southern Right,Walker Bay,South Africa,3.8,11.38,2013.0
7055,7055,Chablis 2014,Ch\xe2teau de Beru,Chablis,France,3.8,38.98,2014.0
7056,7056,Pinot Grigio,Danzante,Toscana,Italy,3.4,9.98,
7057,7057,Verdi Peach Sparkletini,,Asti,Italy,3.9,6.98,
7058,7058,Chardonnay 2010,Jarvis,Napa Valley,United States,4.8,43.5,2010.0
7059,7059,Albari\xf1o de Fefi\xf1anes 2011,Fefinanes,Galicia,Spain,3.8,51.58,2011.0
7060,7060,"[u""Sauvignon Blanc Bishop's Leap 2015""]",Bishops Leap,Marlborough,New Zealand,3.8,24.99,2015.0
7061,7061,Calcaire Alexander Valley Chardonnay,Clos du Bois,Sonoma County,United States,3.8,22.99,
7062,7062,San Vincenzo 2015,Roberto Anselmi,Verona,Italy,3.8,15.98,2015.0
7063,7063,La Panesa Especial Fino Jerez,Bodegas Emilio Hidalgo,Jerez-X\xe9r\xe8s-Sherry,Spain,4.0,58.58,
7064,7064,Chardonnay 2012,Waterbrook,Walla Walla Valley,United States,3.4,12.98,2012.0
7065,7065,Rkaciteli - Special Selection 2013,Tikves Winery,Tikves Wine Region,Macedonia,3.6,10.98,2013.0
7066,7066,Domaine de Vedilhan Viognier,Vedilhan,Languedoc-Roussillon,France,3.6,10.99,
7067,7067,Assyrtiko - Athiri 2015,Domaine Sigalas,Santorini,Greece,3.8,18.98,2015.0
7068,7068,"[u""Grand Cru d'Anjou Savenni\xe8res 2014""]","[u""Ch\xe2teau d'Epir\xe9""]",Savenni\xe8res,France,3.5,18.88,2014.0
7069,7069,Chardonnay Truchard Vineyard 2013,Nickel & Nickel,Oakville,United States,4.3,45.98,2013.0
7070,7070,Corton-Charlemagne Grand Cru 2008,Rapet,C\xf4te de Beaune,France,4.5,71.15,2008.0
7071,7071,Les Terres Blanches Nuits-Saint-Georges 1er Cru,Bertrand Ambroise,Bourgogne,France,4.5,868.68,
7072,7072,Reserva Chardonnay,Chilcas,Santiago,Chile,3.5,11.38,
7073,7073,Rueda Fermentado En Barrica 2011,Tom\xe1s Postigo,Castilla y Le\xf3n,Spain,4.2,23.97,2011.0
7074,7074,Reserva Chardonnay 2011,Vi\xf1a Santa Rita,Valle del Maipo,Chile,3.6,12.96,2011.0
7075,7075,"[u""Vigneti Sant'Helena Pinot Grigio 2014""]",Fantinel,Friuli-Venezia Giulia,Italy,3.5,19.98,2014.0
7076,7076,Clos de la Coul\xe9e de Serrant 1999,Nicolas Joly,Saumur,France,4.4,75.0,1999.0
7077,7077,Chardonnay 2013,A to Z Wineworks,Oregon,United States,3.4,14.98,2013.0
7078,7078,Unendlich,F. X Pichler,Nieder\xf6sterreich,Austria,4.5,198.21,
7079,7079,Catalonia Vermut,Priorat Natur,,,3.8,22.98,
7080,7080,Chablis 2014,Olivier Tricon,Chablis,France,3.7,14.9,2014.0
7081,7081,Sancerre Anciennes Vignes 2014,Patient Cottat,Upper Loire,France,4.0,22.68,2014.0
7082,7082,Chardonnay Russian River Valley 2014,Buehler,St. Helena,United States,3.9,17.08,2014.0
7083,7083,Schloss Marienlay Riesling Trocken 2013,Reichsgraf von Kesselstatt,Mosel,Germany,3.8,200.0,2013.0
7084,7084,Sauvignon Blanc,Hanna,Sonoma County,United States,3.8,16.98,
7085,7085,Santa Lucia Highlands Reserve Chardonnay 2012,Mer Soleil,Santa Lucia Highlands,United States,4.1,32.54,2012.0
7086,7086,Riesling Graacher Himmelreich Sp\xe4tlese 2011,Joh. Jos. Pr\xfcm,Mosel,Germany,4.0,39.98,2011.0
7087,7087,Chardonnay,Hamilton Russell,Walker Bay,South Africa,4.1,29.97,
7088,7088,Chardonnay Streamside 2011,Sea Smoke,California,United States,4.5,79.94,2011.0
7089,7089,Eden Valley Dry Riesling 2015,Pewsey Vale,Barossa,Australia,3.6,14.98,2015.0
7090,7090,Villa Solais Vermentino di Sardegna 2014,Santadi,Sardegna,Italy,3.7,11.94,2014.0
7091,7091,Sonoma County Chardonnay 2014,Lioco,Mendocino County,United States,3.9,22.94,2014.0
7092,7092,Touraine Sauvignon 2014,Les Roches,Provence,France,3.4,9.98,2014.0
7093,7093,O Rosal Albari\xf1o 2015,Terras Gauda,R\xedas Baixas,Spain,4.0,19.98,2015.0
7094,7094,Chardonnay,La Crema,Sonoma County,United States,3.9,17.97,
7095,7095,Double L Vineyard Chardonnay,Morgan,California,United States,4.2,43.98,
7096,7096,Hermitage Le Chevalier de Sterimberg 2012,Paul Jaboulet A\xeen\xe9,Rhone Valley,France,3.8,49.94,2012.0
7097,7097,Mas La Chevali\xe8re Vignoble Peyroli,Laroche,Bourgogne,France,3.8,16.28,
7098,7098,Moscato 2014,Seven Daughters,California,United States,4.1,11.98,2014.0
7099,7099,Sonoma Coast Chardonnay,Red Car,Sonoma County,United States,3.9,36.58,
7100,7100,Jayson Chardonnay,Pahlmeyer,Napa Valley,United States,4.4,52.79,
7101,7101,Vermentino Colombard  La Vocation 2015,Vignerons,Bourgogne,France,3.3,2.19,2015.0
7102,7102,Hot to Trot White Blend,14 Hands,Washington,United States,3.6,10.98,
7103,7103,Madonna Auslese,P.J. Valckenberg,Rheinhessen,Germany,3.8,14.98,
7104,7104,Chardonnay,Three Thieves,California,United States,3.5,8.58,
7105,7105,La Fourchaume Chablis Premier Cru,Jean-Claude Bessin,Chablis,France,4.1,34.59,
7106,7106,Chablis Premier Cru Mont\xe9e de Tonnerre 2007,Raveneau,Chablis,France,4.6,189.93,2007.0
7107,7107,Vi\xf1a Sol 2013,Torres,Pened\xe8s,Spain,3.5,9.98,2013.0
7108,7108,Is Argiolas Vermentino di Sardegna 2014,Argiolas,Sardegna,Italy,3.9,22.99,2014.0
7109,7109,Village Chardonnay 2012,Kumeu River,Kumeu,New Zealand,3.7,24.98,2012.0
7110,7110,Chardonnay,Echelon,Central Coast,United States,3.4,9.78,
7111,7111,Reserva Sauvignon Blanc 2015,Vi\xf1a Santa Rita,Valle del Maipo,Chile,3.2,12.96,2015.0
7112,7112,Riesling Alsace Grand Cru Schlossberg Cuv\xe9e Sainte Catherine 2014,Domaine Weinbach,Alsace,France,4.5,57.98,2014.0
7113,7113,Soave Classico Vigneti Di Foscarino 2014,Inama,Soave Classico,Italy,3.6,24.98,2014.0
7114,7114,Chardonnay One Sixteen 2013,Kosta Browne,Sonoma County,United States,4.3,84.99,2013.0
7115,7115,Chablis Grand Cru Les Clos 2010,Joseph Drouhin,Bourgogne,France,4.6,99.98,2010.0
7116,7116,Borealis Northern Whites,Montinore Estate,Oregon,United States,3.9,13.82,
7117,7117,Cometa Sicilia 2015,Planeta,Terre Siciliane,Italy,4.0,30.83,2015.0
7118,7118,Riesling Trocken 2012,Wagner-Stempel,Rheinhessen,Germany,3.7,22.65,2012.0
7119,7119,Armador Sauvignon Blanc 2012,Odfjell,Valle Central,Chile,3.5,8.29,2012.0
7120,7120,"[u""Lune d'Argent""]",Clos des Lunes,Sauternes,France,3.6,18.48,
7121,7121,Pinot Grigio,Kim Crawford,Marlborough,New Zealand,3.5,15.98,
7122,7122,Clay Shales Chardonnay,Crystallum,Walker Bay,South Africa,4.2,49.39,
7123,7123,"[u""Pfoeller Vin D'Alsace Riesling""]",Meyer-Fonne,Alsace,France,3.9,28.19,
7124,7124,The FMC Chenin Blanc 2008,Ken Forrester,Stellenbosch,South Africa,4.5,54.99,2008.0
7125,7125,R\xedas Baixas Albari\xf1o 2015,Martin Codax,Galicia,Spain,3.8,14.98,2015.0
7126,7126,Chardonnay,Hanging Vine,Central Coast,United States,3.7,10.96,
7127,7127,Pioneer Block 2 Sauvignon Blanc Pioneer Block 2 Swamp Block 2014,Saint Clair,Marlborough,New Zealand,4.0,288.0,2014.0
7128,7128,Alsace Riesling,Pfaffenheim,Alsace,France,3.4,14.99,
7129,7129,Palai M\xfcller Thurgau Dolomiti 2014,Pojer e Sandri,Trentino,Italy,3.7,20.98,2014.0
7130,7130,Chardonnay 2013,Two Vines,Washington,United States,3.3,8.58,2013.0
7131,7131,Riesling Oberh\xe4user Leistenberg Kabinett 2014,D\xf6nnhoff,Nahe,Germany,3.8,25.99,2014.0
7132,7132,Provincia di Pavia Moscato,Bartenura,Piemonte,Italy,4.3,14.98,
7133,7133,Meursault Les Narvaux,"[u""Domaine d'Auvenay (Lalou Bize Leroy)""]",Meursault,France,4.6,699.49,
7134,7134,Chardonnay,3 Blind Moose,California,United States,2.9,10.38,
7135,7135,Saint-V\xe9ran,Valanges,M\xe2connais,France,3.6,11.52,
7136,7136,Pinot Grigio 2013,Little Black Dress,California,United States,3.2,9.98,2013.0
7137,7137,Pouilly-Fuiss\xe9 2013,Domaine J.A. Ferret,Pouilly-Fuiss\xe9,France,4.1,39.98,2013.0
7138,7138,Bin 85 Pinot Grigio,"[u""Lindeman's""]",South Eastern Australia,Australia,3.3,5.98,
7139,7139,The Great Escape Chardonnay,Big House,Monterey County,United States,3.3,21.62,
7140,7140,Pratto Bianco (Pratto Benaco Bresciano) 2012,C\xe0 dei Frati,Lombardia,Italy,4.2,17.6,2012.0
7141,7141,Angialis Isola dei Nuraghi 2012,Argiolas,Sardegna,Italy,4.4,19.39,2012.0
7142,7142,Alvarinho,Nortico,Minho,Portugal,3.8,12.98,
7143,7143,R\xe9serve Chardonnay 2015,Barton & Guestier,Bordeaux,France,3.2,9.98,2015.0
7144,7144,Chardonnay Stone Flat Vineyard,Kistler Vineyards,Sonoma County,United States,4.5,109.95,
7145,7145,Riesling,A to Z Wineworks,Oregon,United States,3.7,14.98,
7146,7146,Pinot Grigio delle Venezie 2015,Vigne del Sole,Veneto,Italy,3.7,8.98,2015.0
7147,7147,Small Lot Blend Chardonnay 2014,Parducci Wine Cellars,California,United States,4.1,12.98,2014.0
7148,7148,Sauvignon Blanc 2014,Lake Chalice,Marlborough,New Zealand,4.3,215.88,2014.0
7149,7149,Ribolla Gialla 2014,Schiopetto,Friuli-Venezia Giulia,Italy,3.2,19.98,2014.0
7150,7150,Macrina Verdicchio Dei Castelli Di Jesi Classico Superiore 2013,Garofoli,Marche,Italy,3.5,13.99,2013.0
7151,7151,Le Clou Montagny,Clos Salomon,C\xf4te Chalonnaise,France,3.8,31.49,
7152,7152,Varietales Torront\xe9s 2014,Bodegas Santa Ana,Mendoza,Argentina,3.2,6.99,2014.0
7153,7153,Riesling Trocken,Wagner-Stempel,Rheinhessen,Germany,3.8,20.79,
7154,7154,Gessami Pened\xe8s Blanco 2015,Gramona,Catalunya,Spain,4.0,17.98,2015.0
7155,7155,Vento Toscana Vermentino 2012,Terre di Talamo,Morellino di Scansano,Italy,4.1,33.57,2012.0
7156,7156,C\xf4tes Du Rh\xf4ne Roussanne,Ch\xe2teau du Trignon,Southern Rh\xf4ne,France,3.6,16.79,
7157,7157,La Rocca Soave Classico 2013,Pieropan,Veneto,Italy,4.1,35.98,2013.0
