,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
1951,1951,Toledana Gavi 2014,La Toledana,Piemonte,Italy,3.7,15.67,2014.0
1952,1952,Condrieu La Loye 2011,Jean-Michel Gerin,Vall\xe9e du Rh\xf4ne,France,3.9,67.97,2011.0
1953,1953,Moschofilero Boutari 2014,Boutari,Attiki,Greece,3.5,14.47,2014.0
1954,1954,Reserva Sauvignon Blanc,Santa Carolina,Valle de Rapel,Chile,3.0,9.99,
1955,1955,Pinot Grigio 2014,Danzante,Toscana,Italy,3.5,10.18,2014.0
1956,1956,Marlborough Sauvignon Blanc 2015,The Cloud Factory,Marlborough,New Zealand,3.9,9.98,2015.0
1957,1957,Saint-V\xe9ran 2014,Domaine Du Chalet Pouilly,M\xe2connais,France,3.5,21.49,2014.0
1958,1958,Chardonnay 2013,M\xe9nage \xe0 Trois,California,United States,3.3,9.98,2013.0
1959,1959,Val do Biber 2011,Sorte O Soro,Galicia,Spain,4.5,1499.88,2011.0
1960,1960,Mere-Et-Fils Adelaide Hills Chardonnay,First Drop,South Australia,Australia,3.5,13.0,
1961,1961,San Vincenzo 2014,Roberto Anselmi,Verona,Italy,3.8,14.98,2014.0
1962,1962,100 H\xfcgel Riesling Trocken 2011,Wittmann,Rheinhessen,Germany,3.6,12.17,2011.0
1963,1963,Chardonnay Cave Collection 2011,Far Niente,Oakville,United States,4.4,75.0,2011.0
1964,1964,Dry Cartizze Valdobbiadene Superiore 2015,Adami,Veneto,Italy,4.7,20.38,2015.0
1965,1965,Vin De Pays Du Vaucluse,Leydier et Fils,Southern Rh\xf4ne,France,3.7,13.48,
1966,1966,Private Reserve Chardonnay 2013,Beringer Vineyards,St. Helena,United States,4.0,34.98,2013.0
1967,1967,A by Acacia Unoaked Chardonnay,Acacia,Napa Valley,United States,3.4,10.98,
1968,1968,Paris Tasting Commemorative Chardonnay,Grgich Hills,St. Helena,United States,4.5,34.98,
1969,1969,Stratum Sauvignon Blanc 2014,Sherwood Estate Winery,Canterbury,New Zealand,3.8,15.26,2014.0
1970,1970,Clos Des Ambres Meursault,Arnaud Ente,Bourgogne,France,4.4,191.99,
1971,1971,Chevalier-Montrachet Grand Cru 2002,Domaine Leflaive,Bourgogne,France,4.6,1050.0,2002.0
1972,1972,Chardonnay,Calden,Mendoza,Argentina,3.5,9.78,
1973,1973,Chardonnay Bourgogne Les Murelles,Roux P\xe8re & Fils,Bourgogne,France,3.5,18.78,
1974,1974,Sauvignon Blanc,Fournier Pere & Fils,Sancerre,France,3.7,11.98,
1975,1975,Pazo das Bruxas 2014,Torres,Pened\xe8s,Spain,3.6,14.52,2014.0
1976,1976,Chardonnay 2015,Le Jade,Languedoc-Roussillon,France,3.7,13.0,2015.0
1977,1977,Cometa Sicilia 2014,Planeta,Terre Siciliane,Italy,3.9,35.94,2014.0
1978,1978,Carmel Valley Chardonnay,Silvestri Vineyards,Central Coast,United States,4.3,26.99,
1979,1979,Pinot Grigio,Candoni,Veneto,Italy,3.6,10.98,
1980,1980,Isobel Chardonnay,DuMOL,Russian River Valley,United States,4.4,74.98,
1981,1981,Puligny-Montrachet Les Enseign\xe8res 2013,Vincent Girardin,Bourgogne,France,4.3,44.41,2013.0
1982,1982,River Ranch Chardonnay,Housleys Century Oak,California,United States,3.3,9.97,
1983,1983,Pessac-L\xe9ognan Grand Cru Class\xe9 Blanc,Ch\xe2teau Malartic-Lagravi\xe8re,Pessac-Leognan,France,4.0,100.37,
1984,1984,Bourgogne Vezelay la Chatelaine,Domaine de la Cadette,Bourgogne,France,3.6,17.5,
1985,1985,Santa Lucia Highlands Reserve Chardonnay 2013,Mer Soleil,Santa Lucia Highlands,United States,4.1,29.97,2013.0
1986,1986,Riesling Graacher Himmelreich Sp\xe4tlese 2012,Joh. Jos. Pr\xfcm,Mosel,Germany,4.1,36.98,2012.0
1987,1987,Miller Ranch Sauvignon Blanc 2013,Silverado,Napa Valley,United States,3.7,19.98,2013.0
1988,1988,B\xe2tard-Montrachet Grand Cru 2012,Louis Jadot,Bourgogne,France,4.5,264.98,2012.0
1989,1989,Ma Belle-Fille 2008,Peter Michael Winery,Knights Valley,United States,4.4,215.0,2008.0
1990,1990,Pinot Grigio Terre Siciliane 2014,Santa Cristina,Toscana,Italy,3.6,11.98,2014.0
1991,1991,Gavi di Gavi,Morgassi Superiore,Piemonte,Italy,3.6,21.43,
1992,1992,Podium Verdicchio Di Castelli Di Jesi Classico Superiore 2013,Garofoli,Marche,Italy,3.8,26.29,2013.0
1993,1993,Monzinger Halenberg Riesling Gro\xdfes Gew\xe4chs,Emrich-Schonleber,Nahe,Germany,4.6,80.93,
1994,1994,Dry Riesling,Ch\xe2teau Ste. Michelle,Columbia Valley,United States,3.7,9.97,
1995,1995,Puro,Movia,Gori\u0161ka Brda,Slovenia,4.1,44.89,
1996,1996,Les Terrasses De L Empire Condrieu 2011,Domaine Georges Vernay,C\xf4te-R\xf4tie,France,4.2,89.99,2011.0
1997,1997,The Fum\xe9 Sauvignon Blanc 2014,Murphy-Goode,California,United States,3.7,11.48,2014.0
1998,1998,Gew\xfcrztraminer R\xe9serve 2013,Dopff au Moulin,"[u""Cr\xe9mant d'Alsace""]",France,3.9,18.99,2013.0
1999,1999,Marsala Fine Ambra Dry,Lombardo,Terre Siciliane,Italy,3.3,10.98,
2000,2000,Crustaces Alsace 2012,Dopff & Irion,Alsace,France,3.5,12.96,2012.0
2001,2001,P\xeara-Manca Branco 2010,Cartuxa,Evora,Portugal,4.4,273.25,2010.0
