,index,Unnamed: 0,0,1,2,3,4,5
5670,71,71,[u'Reserva Sauvignon Blanc 2013'],[u'Luigi Bosca'],[u'Lujan de Cuyo'],[u'Argentina'],"[u'\nAvg. Rating: 3.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $18.48\n', u'\n']"
5671,72,72,[u'Grassnitzberg Sauvignon Blanc 2013'],[u'Tement'],[u'Nieder\xf6sterreich'],[u'Austria'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $34.97\n', u'\n']"
5672,73,73,[u'Chardonnay'],[u'Woodbridge by Robert Mondavi'],[u'California'],[u'United States'],"[u'\nAvg. Rating: 3.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $7.98\n', u'\n']"
5673,74,74,[u'Raccaro Collio Malvasia 2012'],[u'Dario Raccaro'],[u'Friuli-Venezia Giulia'],[u'Italy'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $38.96\n', u'\n']"
5674,75,75,[u'The Infamous Goose Sauvignon Blanc 2015'],[u'Mother Goose'],[u'Marlborough'],[u'New Zealand'],"[u'\nAvg. Rating: 4.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $13.98\n', u'\n']"
5675,76,76,[u'Chardonnay'],[u'Terlato Family Vineyards'],[u'Rutherford'],[u'United States'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $19.98\n', u'\n']"
5676,77,77,[u'Chardonnay Langhe'],[u'Massolino'],[u'Piemonte'],[u'Italy'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $29.08\n', u'\n']"
5677,78,78,[u'Central Coast Chardonnay 2014'],[u'Mark West'],[u'Sonoma County'],[u'United States'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.98\n', u'\n']"
5678,79,79,[u'Gew\xfcrztraminer Alsace Clos Windsbuhl 2006'],[u'Domaine Zind Humbrecht'],[u'Alsace'],[u'France'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $59.99\n', u'\n']"
5679,80,80,[u'Toscana Batar 2004'],[u'Agricola Querciabella'],[u'Chianti Classico'],[u'Italy'],"[u'\nAvg. Rating: 4.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $287.50\n', u'\n']"
5680,81,81,[u'Chablis Premier Cru Vaulorent 2013'],[u'Domaine Jean-Marc Brocard'],[u'Chablis'],[u'France'],"[u'\nAvg. Rating: 4.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $35.66\n', u'\n']"
5681,82,82,[u'Et Filles Meursault-Charmes 1er Cru'],[u'Hubert Bouzereau-Gru\xe8re et Filles'],[u'C\xf4te de Beaune'],[u'France'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $47.82\n', u'\n']"
5682,83,83,"[u""Vigneti Sant'Helena Sauvignon""]",[u'Fantinel'],[u'Friuli-Venezia Giulia'],[u'Italy'],"[u'\nAvg. Rating: 3.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $22.49\n', u'\n']"
5683,84,84,[u'Napa Valley Sauvignon Blanc 2013'],[u'Duckhorn'],[u'St. Helena'],[u'United States'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $28.96\n', u'\n']"
5684,85,85,[u'Hunting Hill Chardonnay 2014'],[u'Kumeu River'],[u'Kumeu'],[u'New Zealand'],"[u'\nAvg. Rating: 4.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $44.49\n', u'\n']"
5685,86,86,[u'Graves Blanc 2014'],[u'Clos Florid\xe8ne'],[u'Graves'],[u'France'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $33.99\n', u'\n']"
5686,87,87,[u'The Witches Berry Chardonnay 2013'],"[u""d'Arenberg""]",[u'McLaren Vale'],[u'Australia'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $17.03\n', u'\n']"
5687,88,88,[u'Chardonnay 2013'],[u'Hess Select'],[u'Mendocino County'],[u'United States'],"[u'\nAvg. Rating: 3.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $11.98\n', u'\n']"
5688,89,89,[u'Greco Di Tufo'],[u'Benito Ferrara'],[u'Campania'],[u'Italy'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $19.78\n', u'\n']"
5689,90,90,[u'Te Koko Sauvignon Blanc 2011'],[u'Cloudy Bay'],[u'Marlborough'],[u'New Zealand'],"[u'\nAvg. Rating: 4.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $59.98\n', u'\n']"
5690,91,91,[u'Chardonnay'],[u'Amayna'],[u'Aconcagua'],[u'Chile'],"[u'\nAvg. Rating: 4.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $28.33\n', u'\n']"
5691,92,92,[u'Pessac-L\xe9ognan Grand Cru Class\xe9 Blanc'],[u'Ch\xe2teau Olivier'],[u'Pessac-Leognan'],[u'France'],"[u'\nAvg. Rating: 3.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $36.71\n', u'\n']"
5692,93,93,[u'M\xe2con-villages 2014'],[u'Les Heritiers Du Comte Lafon'],[u'C\xf4te Chalonnaise'],[u'France'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $23.97\n', u'\n']"
5693,94,94,[u'Wehlener Sonnenuhr Reisling Sp\xe4tlese 1994'],[u'Jos. Christoffel Jr.'],[u'Mosel'],[u'Germany'],"[u'\nAvg. Rating: 4.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $34.96\n', u'\n']"
5694,95,95,[u'Cuv\xe9e Clos de Vaux Vouvray'],[u'Vigneau-Chevreau'],[u'Touraine'],[u'France'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $18.00\n', u'\n']"
5695,96,96,[u'Passito Del Veneto'],[u'Fratelli Vogadori'],[u'Valpolicella'],[u'Italy'],"[u'\nAvg. Rating: 4.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $13.40\n', u'\n']"
5696,97,97,[u'White 2007'],[u'Ansitz Dolomytos'],[],[],"[u'\nAvg. Rating: 4.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $35.95\n', u'\n']"
5697,98,98,[u'Martinsancho Rueda Verdejo 2015'],[u'Angel Rodriguez'],[u'Castilla y Le\xf3n'],[u'Spain'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $17.96\n', u'\n']"
5698,99,99,[u'Bicicleta Viognier 2013'],[u'Cono Sur'],[u'Santiago'],[u'Chile'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.99\n', u'\n']"
5699,0,0,[u'Coastal Estates Chardonnay 2013'],[u'Beaulieu Vineyard (BV)'],[u'Rutherford'],[u'United States'],"[u'\nAvg. Rating: 3.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $7.98\n', u'\n']"
5700,1,1,[u'Sauternes 2011'],[u'Ch\xe2teau de Myrat'],[u'Sauternes'],[u'France'],"[u'\nAvg. Rating: 4.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $42.93\n', u'\n']"
5701,2,2,[u'Chablis 1er Cru Vaillon 2012'],[u'Christian Moreau Pere & Fils'],[u'Chablis'],[u'France'],"[u'\nAvg. Rating: 4.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $45.99\n', u'\n']"
5702,3,3,[u'Napa Valley Sauvignon Blanc 2013'],[u'Cultivar'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $19.98\n', u'\n']"
5703,4,4,[u'Les Coutes 2013'],[u'Pascal et Nicolas Reverdy'],[u'Sancerre'],[u'France'],"[u'\nAvg. Rating: 4.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $23.97\n', u'\n']"
5704,5,5,[u'Pinot Grigio 2014'],[u'Jermann'],[u'Friuli-Venezia Giulia'],[u'Italy'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $24.46\n', u'\n']"
5705,6,6,[u'Black Label Sauvignon Blanc 2015'],[u'Babich'],[u'Marlborough'],[u'New Zealand'],"[u'\nAvg. Rating: 3.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $13.98\n', u'\n']"
5706,7,7,"[u""Moscato d'Asti 2014""]",[u'G.D. Vajra'],[u'Piemonte'],[u'Italy'],"[u'\nAvg. Rating: 4.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $17.97\n', u'\n']"
5707,8,8,[u'Sauvignon Blanc Bulletproof Picasso 2014'],[u'Save Me San Francisco'],[u'California'],[u'United States'],"[u'\nAvg. Rating: 3.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.48\n', u'\n']"
5708,9,9,[u'Montrachet Grand Cru'],[u'Domaine Leflaive'],[u'Bourgogne'],[u'France'],"[u'\nAvg. Rating: 4.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $3,199.99\n', u'\n']"
